Vuosi;Tunnusluku;Helsingin seudun liikenne;Hämeenlinna;Lahti;Riihimäki;Hyvinkää;Lappeenranta;Imatra;Kotka;Kouvola;Mikkeli;Savonlinna;Joensuu;Kuopio;Kokkola;Seinäjoki;Vaasa;Jyväskylä;Tampere;Turku;Pori;Rauma;Salo;Oulu;Kajaani;Kemi;Rovaniemi;Uusimaa;Kaakkois-Suomi;Pohjois-Savo;Etelä-Pohjanmaa;Keski-Suomi;Pirkanmaa;Varsinais-Suomi;Pohjois-Pohjanmaa;Lappi
2013;Joukkoliikenteen lippualue;HSL;Hämeenlinna;Lahti;Riihimäki;Hyvinkää;Lappeenranta;Imatra;Kotka;Kouvola;Mikkeli;Savonlinna;Joensuu;Kuopio;Kokkola;Seinäjoki;Vaasa;Jyväskylä;Tampere;Turku;Pori;Rauma;Salo;Oulu;Kajaani;Kemi;Rovaniemi;;;;;;;;;
2013;Toimivaltainen viranomainen:;HSL;Hämeenlinna;Lahti;Riihimäki;Hyvinkää;Lappeenranta;Imatra;Kotka;Kouvola;Mikkeli;Savonlinna;Joensuu;Kuopio;Kokkola;Seinäjoki;Vaasa;Jyväskylä;Tampere;Turku;Pori;Rauma;Salo;Oulu;Kajaani;Kemi;Rovaniemi;UUD-ELY;KaS-ELY;PoS-ELY;EPO-ELY;KES-ELY;PIR-ELY;VAR-ELY;POP-ELY;LAP-ELY
2013;KOS: Lipputulot yhteensä;0;0;0;212318,53;0;0;0;0;333936;0;0;88363,63636;2237830,5;0;491451,38;0;172614;0;0;0;0;0;0;0;0;0;0;0;2751586,364;0;1200300;0;1700909,091;1916300;1550000
2013;KOS: Lipputulot yhteensä kuukaudessa;0;0;0;17693,21083;0;0;0;0;27828;0;0;7363,636364;186485,875;0;40954,28167;0;14384,5;0;0;0;0;0;0;0;0;0;0;0;229298,8636;0;100025;0;141742,4242;159691,6667;129166,6667
2013;KOS: Liikennöintikustannukset;0;2000000;0;817523,28;0;0;0;0;1136309,92;0;108266,17;293007,2727;2237830,5;0;1181515,38;0;376938;122423,79;0;0;0;0;489336;0;0;0;1626985;933069;7568000,909;2540585;2763500;1248011;2878188,709;6137574;4100000
2013;PSA: Nousijat vuodessa;345239000;204000;0;142119;0;0;0;0;109677,5;0;24828;0;4688327;0;471589;0;55680;30462997;21000000;0;230678;0;181468;0;0;25383;0;131169,96;681240;511963;283400;196257;350000;540165;260000
2013;PSA: Nousijat kuukaudessa;28769916,67;17000;0;11843,25;0;0;0;0;9139,791667;0;2069;0;390693,9167;0;39299,08333;0;4640;2538583,083;1750000;0;19223,16667;0;15122,33333;0;0;2115,25;0;10930,83;56770;42663,58333;23616,66667;16354,75;29166,66667;45013,75;21666,66667
2013;PSA: Linjakilometrit vuodessa;93010366,4;750000;0;309348;0;0;0;0;357885,5;0;71768;180000;4329293;0;588400;0;180779;12937618;0;0;405947;0;180480;0;0;172000;1363220;669936;4059483;2590378;1457100;1179004;1470000;3751422;2980000
2013;PSA: Linjakilometrit kuukaudessa;7750863,867;62500;0;25779;0;0;0;0;29823,79167;0;5980,666667;15000;360774,4167;0;49033,33333;0;15064,91667;1078134,833;0;0;33828,91667;0;15040;0;0;14333,33333;113601,6667;55828;338290,25;215864,8333;121425;98250,33333;122500;312618,5;248333,3333
2013;PSA: Lähdöt vuodessa;6292163,5;0;0;28955;0;0;0;0;12309;0;0;0;0;0;23840;0;0;880010;1000000;0;0;0;23760;0;0;5118;35441;13699,92;56296;57690;27220;19848;31000;43542;22740
2013;PSA: Lähdöt kuukaudessa;524346,9583;0;0;2412,916667;0;0;0;0;1025,75;0;0;0;0;0;1986,666667;0;0;73334,16667;83333,33333;0;0;0;1980;0;0;426,5;2953,416667;1141,66;4691,333333;4807,5;2268,333333;1654;2583,333333;3628,5;1895
2013;PSA: Kaluston määrä YHTEENSÄ;569;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;187;182;0;9;0;4;0;0;0;0;0;0;146;0;0;0;120;0
2013;PSA: Kaluston keskimääräinen EURO-luokka;3,594024605;0;0;0;0;0;0;0;0;0;0;0;0;0;4,9;0;0;2,714548803;4,252747253;0;2,222222222;0;5;0;0;0;0;0;0;1;0;0;0;1;0
